time stamp,marker
3206125.813315644,[554]
3206126.314599895,[555]
3206126.314315644,[555]
3206126.81505227,[556]
3206126.814315644,[556]
3206127.315164407,[557]
3206127.314315644,[557]
3206127.816033602,[558]
3206127.815315644,[558]
3206128.317018034,[559]
3206128.316315644,[559]
3206128.817110478,[560]
3206128.816315644,[560]
3206129.317756495,[561]
3206129.317315644,[561]
3206129.818045862,[562]
3206129.817315644,[562]
3206130.318585029,[563]
3206130.318315644,[563]
3206130.819479022,[564]
3206130.819315644,[564]
3206131.319510202,[565]
3206131.319315644,[565]
3206131.8199706,[566]
3206131.819315644,[566]
3206132.320663659,[567]
3206132.320315644,[567]
3206132.821451533,[568]
3206132.821315644,[568]
3206133.321864888,[569]
3206133.321315644,[569]
3206133.82250981,[570]
3206133.822315644,[570]
3206134.323112431,[571]
3206134.322315644,[571]
3206134.82409358,[572]
3206134.823315644,[572]
3206135.324276463,[573]
3206135.323315644,[573]
3206135.824700395,[574]
3206135.824315644,[574]
3206136.324738503,[575]
3206136.324315644,[575]
3206136.824953841,[576]
3206136.824315644,[576]
3206137.325814649,[577]
3206137.325315644,[577]
3206137.826117874,[578]
3206137.825315644,[578]
3206138.326574261,[579]
3206138.326315644,[579]
3206138.827396414,[580]
3206138.827315644,[580]
3206139.328371729,[581]
3206139.328315644,[581]
3206139.828335079,[582]
3206139.828315644,[582]
3206140.328544948,[583]
3206140.328315644,[583]
3206140.828575033,[584]
3206140.828315644,[584]
3206141.329437665,[585]
3206141.329315644,[585]
3206141.830303943,[586]
3206141.829315644,[586]
3206142.330300479,[587]
3206142.329315644,[587]
3206142.831102574,[588]
3206142.830315644,[588]
3206143.331234403,[589]
3206143.330315644,[589]
3206143.831633172,[590]
3206143.831315644,[590]
3206144.332393695,[591]
3206144.3323156442,[591]
3206144.832795017,[592]
3206144.8323156442,[592]
3206145.332993216,[593]
3206145.3323156442,[593]
3206145.833335096,[594]
3206145.833315644,[594]
3206146.333421341,[595]
3206146.333315644,[595]
3206146.834049123,[596]
3206146.833315644,[596]
3206147.334846114,[597]
3206147.334315644,[597]
3206147.83525327,[598]
3206147.834315644,[598]
3206148.335590409,[599]
3206148.335315644,[599]
3206148.835887434,[600]
3206148.835315644,[600]
3206149.3360065,[601]
3206149.335315644,[601]
3206149.836091286,[602]
3206149.835315644,[602]
3206150.33640071,[603]
3206150.336315644,[603]
3206150.837182749,[604]
3206150.836315644,[604]
3206151.337324424,[605]
3206151.336315644,[605]
3206151.837910634,[606]
3206151.837315644,[606]
3206152.338268924,[607]
3206152.337315644,[607]
3206152.838450348,[608]
3206152.838315644,[608]
3206153.33861281,[609]
3206153.338315644,[609]
3206153.839073937,[610]
3206153.838315644,[610]
3206154.34004597,[611]
3206154.339315644,[611]
3206154.840864112,[612]
3206154.840315644,[612]
3206155.341267621,[613]
3206155.340315644,[613]
3206155.841224408,[614]
3206155.840315644,[614]
3206156.34173586,[615]
3206156.341315644,[615]
3206156.842161979,[616]
3206156.841315644,[616]
3206157.343057796,[617]
3206157.342315644,[617]
3206157.843637442,[618]
3206157.843315644,[618]
3206158.344345817,[619]
3206158.344315644,[619]
3206158.844553497,[620]
3206158.844315644,[620]
3206159.344928198,[621]
3206159.344315644,[621]
3206159.845201519,[622]
3206159.844315644,[622]
3206160.345385861,[623]
3206160.345315644,[623]
3206160.845529359,[624]
3206160.845315644,[624]
3206161.346429552,[625]
3206161.346315644,[625]
3206161.84677909,[626]
3206161.846315644,[626]
3206162.347631146,[627]
3206162.347315644,[627]
3206162.848477732,[628]
3206162.848315644,[628]
3206163.348837481,[629]
